q_tertile,r_tertile,active_days_14d,retention_14d
low_proj,long_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,long_reply,1.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
mid_proj,mid_reply,2.0,1.0
high_proj,mid_reply,6.0,1.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,long_reply,2.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,long_reply,10.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,long_reply,8.0,1.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,long_reply,2.0,1.0
high_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,1.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,long_reply,1.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,2.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,2.0,1.0
low_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
mid_proj,mid_reply,2.0,1.0
high_proj,short_reply,7.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,mid_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,1.0,1.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,mid_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,2.0,0.0
high_proj,long_reply,1.0,1.0
high_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,1.0,1.0
high_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,3.0,1.0
mid_proj,short_reply,1.0,0.0
low_proj,short_reply,1.0,1.0
high_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,12.0,1.0
low_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,mid_reply,1.0,0.0
high_proj,short_reply,2.0,0.0
low_proj,mid_reply,1.0,1.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,1.0,0.0
high_proj,mid_reply,1.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,4.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,10.0,1.0
low_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,long_reply,3.0,1.0
high_proj,long_reply,14.0,1.0
mid_proj,long_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,2.0,1.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,3.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,short_reply,1.0,1.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,3.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,2.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,short_reply,4.0,1.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,mid_reply,2.0,1.0
mid_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,4.0,1.0
high_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,long_reply,4.0,1.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,8.0,1.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,long_reply,1.0,1.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,long_reply,1.0,1.0
high_proj,mid_reply,3.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,8.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,long_reply,2.0,1.0
high_proj,mid_reply,1.0,1.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,4.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,mid_reply,7.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,1.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,3.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,1.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,mid_reply,9.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,short_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,short_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,1.0,1.0
high_proj,short_reply,1.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,short_reply,3.0,1.0
high_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,1.0,1.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,short_reply,3.0,1.0
high_proj,short_reply,1.0,1.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,1.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,3.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,2.0,0.0
high_proj,short_reply,5.0,1.0
mid_proj,short_reply,2.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,short_reply,1.0,0.0
high_proj,short_reply,7.0,1.0
high_proj,short_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,9.0,1.0
high_proj,short_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,long_reply,5.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,short_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
high_proj,mid_reply,2.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,5.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,long_reply,7.0,1.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,1.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,2.0,1.0
mid_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,1.0,1.0
mid_proj,short_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,5.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,6.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,mid_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,1.0,1.0
low_proj,mid_reply,0.0,0.0
low_proj,long_reply,1.0,1.0
mid_proj,short_reply,1.0,1.0
high_proj,mid_reply,14.0,1.0
mid_proj,mid_reply,1.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,3.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,long_reply,3.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,9.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,mid_reply,1.0,1.0
high_proj,mid_reply,2.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,7.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,4.0,1.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,1.0,1.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,short_reply,4.0,1.0
high_proj,long_reply,5.0,1.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,6.0,1.0
mid_proj,short_reply,9.0,1.0
high_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,2.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,4.0,1.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,4.0,0.0
mid_proj,short_reply,1.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
high_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,6.0,1.0
low_proj,long_reply,0.0,0.0
mid_proj,short_reply,4.0,1.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,1.0,0.0
low_proj,mid_reply,2.0,1.0
high_proj,mid_reply,4.0,1.0
low_proj,mid_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
mid_proj,mid_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,long_reply,1.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,1.0,1.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,1.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,long_reply,3.0,0.0
low_proj,short_reply,1.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
mid_proj,long_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,long_reply,6.0,1.0
low_proj,mid_reply,1.0,0.0
high_proj,mid_reply,6.0,1.0
high_proj,mid_reply,7.0,1.0
mid_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,short_reply,1.0,1.0
high_proj,long_reply,0.0,0.0
mid_proj,mid_reply,8.0,1.0
low_proj,short_reply,0.0,0.0
mid_proj,long_reply,1.0,1.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,short_reply,12.0,1.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,long_reply,2.0,1.0
mid_proj,short_reply,5.0,1.0
high_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,1.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,3.0,1.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,2.0,0.0
low_proj,mid_reply,1.0,1.0
low_proj,short_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,2.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,1.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,1.0,1.0
high_proj,short_reply,2.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,short_reply,3.0,1.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,2.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,long_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,2.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,4.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,3.0,1.0
low_proj,short_reply,1.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,long_reply,3.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,11.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,2.0,1.0
low_proj,short_reply,1.0,1.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,long_reply,2.0,1.0
low_proj,short_reply,1.0,0.0
mid_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,long_reply,7.0,1.0
high_proj,long_reply,4.0,1.0
mid_proj,long_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,long_reply,1.0,0.0
high_proj,short_reply,4.0,1.0
low_proj,mid_reply,1.0,1.0
high_proj,mid_reply,2.0,1.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,long_reply,2.0,0.0
low_proj,mid_reply,1.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,13.0,1.0
low_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
high_proj,mid_reply,3.0,1.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,1.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,1.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,long_reply,7.0,1.0
low_proj,long_reply,1.0,0.0
low_proj,mid_reply,2.0,0.0
high_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,mid_reply,1.0,1.0
low_proj,long_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,long_reply,1.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,short_reply,4.0,1.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,long_reply,2.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
mid_proj,long_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,short_reply,10.0,1.0
high_proj,short_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,long_reply,1.0,0.0
high_proj,short_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
mid_proj,short_reply,1.0,1.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,5.0,1.0
high_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,long_reply,2.0,1.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,mid_reply,1.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
high_proj,short_reply,10.0,1.0
high_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
low_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,short_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,long_reply,1.0,1.0
high_proj,mid_reply,1.0,1.0
mid_proj,long_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
low_proj,long_reply,0.0,0.0
mid_proj,long_reply,0.0,0.0
low_proj,mid_reply,0.0,0.0
mid_proj,mid_reply,0.0,0.0
mid_proj,short_reply,0.0,0.0
high_proj,mid_reply,0.0,0.0
high_proj,long_reply,0.0,0.0
